                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    137,                0.44199,                0.37315,                0.92935,                0.90379,                0.95445,                0.93284,                0.78731,                0.63838,                0.49003,                0.92989,              0.0012181,              0.0012181,              0.0012181
                    138,                0.41731,                0.36328,                0.88263,                0.87781,                0.93971,                0.93313,                0.79112,                0.65177,                0.51572,                0.92397,              0.0012148,              0.0012148,              0.0012148
                    139,                0.46164,                0.40222,                 0.9262,                0.94012,                   0.88,                 0.9377,                0.80204,                 0.6322,                0.48422,                   0.91,              0.0012115,              0.0012115,              0.0012115
                    140,                0.41091,                0.33041,                0.90294,                0.93863,                0.90902,                 0.9311,                0.79397,                0.62436,                 0.4376,                0.89602,              0.0012082,              0.0012082,              0.0012082
                    141,                0.40175,                0.33168,                0.88318,                 0.9257,                0.92081,                0.92039,                0.77906,                0.65363,                0.43926,                 0.9111,              0.0012049,              0.0012049,              0.0012049
                    142,                0.41001,                0.35533,                0.89302,                0.93359,                0.93271,                0.94247,                 0.7998,                0.66855,                 0.4242,                 0.9169,              0.0012016,              0.0012016,              0.0012016
                    143,                0.47667,                0.38328,                0.92652,                0.93436,                0.92702,                0.93915,                0.80372,                0.66346,                0.42084,                0.91653,              0.0011983,              0.0011983,              0.0011983
                    144,                0.42986,                0.34935,                0.89586,                0.91868,                0.94268,                0.94217,                0.81705,                 0.6478,                0.40214,                  0.911,               0.001195,               0.001195,               0.001195
                    145,                0.37799,                0.33888,                0.86835,                0.92385,                0.93049,                 0.9414,                0.81628,                0.64686,                0.40502,                0.91336,              0.0011917,              0.0011917,              0.0011917
                    146,                0.41967,                0.34454,                0.91575,                0.93133,                0.92081,                 0.9461,                0.83052,                0.63535,                0.43411,                0.91472,              0.0011884,              0.0011884,              0.0011884
                    147,                0.42356,                0.36219,                0.89684,                0.91687,                0.92081,                0.95423,                0.81538,                0.64864,                0.46249,                0.91805,              0.0011851,              0.0011851,              0.0011851
                    148,                0.42668,                0.35586,                  0.897,                0.93507,                 0.9033,                0.96453,                 0.8319,                0.62479,                0.45914,                0.88991,              0.0011818,              0.0011818,              0.0011818
                    149,                0.41011,                0.34389,                0.89468,                  0.923,                0.87896,                0.95395,                0.81932,                 0.6262,                0.49894,                 0.8959,              0.0011785,              0.0011785,              0.0011785
